Country,Start Date,Citation
United States,2021-11-29,https://www.npr.org/2021/11/29/1059772335/us-restricts-international-travel-over-omicron-variant
Germany,2021-11-28,https://www.bundesregierung.de/breg-en/service/archive/coronavirus-variant-area-1985916
United Kingdom,2021-11-26,https://www.gov.uk/government/news/six-african-countries-added-to-red-list-to-protect-public-health-as-uk-designates-new-variant-under-investigation
Spain,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Italy,2021-11-26,https://www.aljazeera.com/news/2021/11/26/countries-tighten-borders-amid-alarm-over-new-covid-19-variant
Poland,2021-11-26,https://www.gov.pl/web/southafrica/suspension-of-flights-from-south-african-countries-to-the-eu-and-the-united-kingdom
France,2021-11-26,https://www.businesstoday.in/coronavirus/story/france-bans-all-flights-from-southern-africa-on-new-covid-variant-313577-2021-11-26
Israel,2021-11-28,https://www.aljazeera.com/news/2021/11/28/israel-to-ban-entry-of-all-foreigners-over-omicron
Portugal,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Canada,2021-11-26,https://www.reuters.com/world/americas/canada-closing-borders-citizens-seven-southern-african-nations-over-covid-19-2021-11-26/
Australia,2021-11-27,https://www.reuters.com/world/asia-pacific/australia-declare-new-travel-curbs-due-new-virus-strain-media-2021-11-27/
Belgium,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Austria,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Sweden,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Netherlands,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Ireland,2021-11-26,https://www.irishtimes.com/news/ireland/irish-news/people-arriving-from-southern-africa-must-quarantine-as-new-variant-prompts-fresh-restrictions-1.4739658
Denmark,2021-11-26,https://www.reuters.com/world/eu-states-agree-suspend-travel-southern-africa-due-new-covid-19-variant-2021-11-26/
Switzerland,2021-11-26,https://lenews.ch/2021/11/26/switzerland-bans-flights-from-southern-africa/
Mauritius,2021-11-29,https://mauritiusnow.com/blog/2021/11/27/mauritius-suspends-commercial-flights/
